address,ip,port,protocol,anonymity,latency,ssl_supported,verified_exit,country_code,country_name,hosting,as_name,org,target_ok,target_latency
98.130.142.218:40000,98.130.142.218,40000,socks5,elite,0.443,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
18.60.247.31:53579,18.60.247.31,53579,socks5,elite,0.443,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
3.110.68.130:56066,3.110.68.130,56066,socks5,elite,0.473,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
18.60.247.31:31599,18.60.247.31,31599,socks5,elite,0.447,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:15574,98.130.11.240,15574,socks5,elite,0.452,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:34513,98.130.11.240,34513,socks5,elite,0.465,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:58294,98.130.11.240,58294,socks5,elite,0.457,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
43.208.237.116:20172,43.208.237.116,20172,socks5,elite,0.432,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
18.60.247.31:6618,18.60.247.31,6618,socks5,elite,0.459,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:3149,98.130.11.240,3149,socks5,elite,0.455,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
43.208.237.116:6666,43.208.237.116,6666,socks5,elite,0.41,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
43.208.237.116:9080,43.208.237.116,9080,socks5,elite,0.426,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
43.208.237.116:1894,43.208.237.116,1894,socks5,elite,0.414,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
43.208.237.116:16316,43.208.237.116,16316,socks5,elite,0.427,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
18.60.247.31:34971,18.60.247.31,34971,socks5,elite,0.456,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
18.60.247.31:7329,18.60.247.31,7329,socks5,elite,0.458,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
18.60.247.31:35765,18.60.247.31,35765,socks5,elite,0.463,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
18.60.247.31:48518,18.60.247.31,48518,socks5,elite,0.463,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:1130,98.130.11.240,1130,socks5,elite,0.465,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:8079,98.130.11.240,8079,socks5,elite,0.457,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
98.130.11.240:28483,98.130.11.240,28483,socks5,elite,0.456,True,True,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
43.205.242.234:7070,43.205.242.234,7070,socks5,elite,0.471,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
176.101.220.90:8090,176.101.220.90,8090,http,elite,0.611,False,False,UA,Ukraine,residential,AS49588 SDS-Vostok Ltd.,SDS-Vostok Ltd.,False,0.0
37.9.4.101:1088,37.9.4.101,1088,socks5,elite,0.347,True,True,RU,Russia,residential,AS49505 JSC Selectel,Selectel,False,0.0
16.28.101.55:8000,16.28.101.55,8000,socks5,elite,0.517,True,False,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
220.116.142.217:80,220.116.142.217,80,http,elite,0.667,False,False,KR,South Korea,residential,AS4766 Korea Telecom,Kornet,False,0.0
16.28.101.55:28500,16.28.101.55,28500,socks5,elite,0.52,True,False,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
5.129.254.129:8888,5.129.254.129,8888,http,elite,0.617,True,True,RU,Russia,residential,AS9123 JSC TIMEWEB,"JSC ""TIMEWEB""",False,0.0
65.2.6.2:21225,65.2.6.2,21225,socks5,elite,0.467,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-1),False,0.0
